id;fecha;tipo_elem;intensidad;ocupacion;carga;vmed;error;periodo_integracion
4711;2021-01-01 00:00:00;URB;48;1.0;5;0.0;N;15
4711;2021-01-01 00:15:00;URB;73;2.0;7;0.0;N;9
4711;2021-01-01 00:30:00;URB;132;3.0;13;0.0;N;15
4711;2021-01-01 00:45:00;URB;83;2.0;7;0.0;N;15
4711;2021-01-01 01:00:00;URB;139;3.0;12;0.0;N;15
4711;2021-01-01 01:15:00;URB;184;4.0;15;0.0;N;15
4711;2021-01-01 01:30:00;URB;145;4.0;13;0.0;N;15
4711;2021-01-01 01:45:00;URB;212;5.0;17;0.0;N;15
4711;2021-01-01 02:00:00;URB;152;3.0;13;0.0;N;15
4711;2021-01-01 02:15:00;URB;67;2.0;6;0.0;N;15
4711;2021-01-01 02:30:00;URB;116;4.0;10;0.0;N;15
4711;2021-01-01 02:45:00;URB;48;1.0;4;0.0;N;15
4711;2021-01-01 03:00:00;URB;92;3.0;9;0.0;N;15
4711;2021-01-01 03:15:00;URB;24;1.0;4;0.0;N;10
4711;2021-01-01 03:30:00;URB;40;2.0;4;0.0;N;15
4711;2021-01-01 03:45:00;URB;21;1.0;4;0.0;N;14
4711;2021-01-01 04:00:00;URB;33;1.0;4;0.0;N;11
4711;2021-01-01 04:15:00;URB;64;3.0;7;0.0;N;15
4711;2021-01-01 04:30:00;URB;25;1.0;3;0.0;N;12
4711;2021-01-01 04:45:00;URB;22;1.0;3;0.0;N;11
4711;2021-01-01 05:00:00;URB;69;3.0;7;0.0;N;14
4711;2021-01-01 05:15:00;URB;31;2.0;4;0.0;N;14
4711;2021-01-01 05:30:00;URB;32;1.0;4;0.0;N;13
4711;2021-01-01 05:45:00;URB;32;1.0;4;0.0;N;15
4711;2021-01-01 06:00:00;URB;55;3.0;5;0.0;N;14
4711;2021-01-01 06:15:00;URB;35;1.0;3;0.0;N;12
4711;2021-01-01 06:30:00;URB;38;2.0;3;0.0;N;11
4711;2021-01-01 06:45:00;URB;35;1.0;4;0.0;N;12
4711;2021-01-01 07:00:00;URB;30;2.0;3;0.0;N;12
4711;2021-01-01 07:15:00;URB;30;1.0;3;0.0;N;10
4711;2021-01-01 07:30:00;URB;47;1.0;5;0.0;N;14
4711;2021-01-01 07:45:00;URB;28;2.0;4;0.0;N;13
4711;2021-01-01 08:00:00;URB;72;3.0;7;0.0;N;15
4711;2021-01-01 08:15:00;URB;36;2.0;6;0.0;N;15
4711;2021-01-01 08:30:00;URB;24;1.0;3;0.0;N;15
4711;2021-01-01 08:45:00;URB;52;2.0;4;0.0;N;15
4711;2021-01-01 09:00:00;URB;46;2.0;5;0.0;N;13
4711;2021-01-01 09:15:00;URB;63;2.0;7;0.0;N;15
4711;2021-01-01 09:30:00;URB;44;3.0;5;0.0;N;15
4711;2021-01-01 09:45:00;URB;72;3.0;7;0.0;N;15
